DDb-hybrid (match),Checklist (replace-with),TM (replace),Replace?,Regex?,Notes,,,,
p.koeln.sarapion,P.Köln Sarapion,P. Köln Sarapion,TRUE,FALSE,,,,,
p.kramer,P.Kramer,P. Kramer,TRUE,FALSE,,,,,
p.kroll,P.Kroll,P. Kroll,TRUE,FALSE,,,,,
p.kron,P.Kron.,P. Kron.,TRUE,FALSE,,,,,
p.kru,P.KRU,P. KRU,TRUE,FALSE,,,,,
p.kynopolites,P.Kynopolites,P. Kynopolites,TRUE,FALSE,,,,,
p.vind.sijp;;,P.Vind.Sijp.,P. L. Bat. 11,TRUE,FALSE,,,,,
p.select;;,P.Select,P. L. Bat. 13,TRUE,FALSE,,,,,
p.david;;,P.David,P. L. Bat. 17,TRUE,FALSE,,,,,
p.batav;;,P.Batav.,P. L. Bat. 19,TRUE,FALSE,,,,,
p.zen.pestm;;,P.Zen.Pestm.,P. L. Bat. 20,TRUE,FALSE,,,,,
p.dion;;,P.Dion,P. L. Bat. 22,TRUE,FALSE,,,,,
p.leid.inst;1;,P.Leid.Inst. 1,P. L. Bat. 25,TRUE,FALSE,,,,,
o.vleem;;,O.Vleem.,P. L. Bat. 26,TRUE,FALSE,,,,,
p.worp;;,P.Worp,P. L. Bat. 33,TRUE,FALSE,,,,,
p.hoogendijk,P.Hoogendijk,P. L. Bat. 37,TRUE,FALSE,,,,,
p.leid.inst;2;,P.Leid.Inst. 2,P. L. Bat. 40,TRUE,FALSE,,,,,
p.van.minnen,P.Van Minnen,P. L. Bat. 42,TRUE,FALSE,,,,,
p.warr;;,P.Warr.,P. L. Bat. 1,TRUE,FALSE,,,,,
p.vind.bosw;;,P.Vind.Bosw.,P. L. Bat. 2,TRUE,FALSE,,,,,
p.oxf;;,P.Oxf.,P. L. Bat. 3,TRUE,FALSE,,,,,
p.brux;1,P.Brux.,P. L. Bat. 5,TRUE,FALSE,,,,,
p.fam.tebt;;,P.Fam.Tebt.,P. L. Bat. 6,TRUE,FALSE,,,,,
pap.lugd.bat,Pap.Lugd.Bat.,P. L. Bat.,TRUE,FALSE,,,,,
p.laur,P.Laur.,P. Laur.,TRUE,FALSE,,,,,
p.lecce,P.Lecce,P. Lecce,TRUE,FALSE,,,,,
p.leeds.mus,P.Leeds Mus.,P. Leeds Mus.,TRUE,FALSE,,,,,
p.leid.dem,P.Leid.Dem.,P. Leiden Dem.,TRUE,FALSE,,,,,
p.leid.,P.Leid.,P. Leiden Gr.,TRUE,FALSE,,,,,
p.leipz,P.Leipz.,P. Leipz.,TRUE,FALSE,,,,,
p.leit,P.Leit.,P. Leit.,TRUE,FALSE,,,,,
p.lesestuecke,P.Lesestücke,P. Lesestücke,TRUE,FALSE,,,,,
p.libbey,P.Libbey,P. Libbey,TRUE,FALSE,,,,,
p.lille.dem,P.Lille Dem.,P. Lille Dem.,TRUE,FALSE,,,,,
p.lille,P.Lille,P. Lille Gr.,TRUE,FALSE,,,,,
p.lips,P.Lips. ,P. Lips.,TRUE,FALSE,,,,,
p.lond,P.Lond.,P. Lond.,TRUE,FALSE,,,,,
p.lond.copt,P.Lond.Copt.,P. Lond. Copt.,TRUE,FALSE,,,,,
p.lond.herm,P.Lond.Herm.,P. Lond. Herm.,TRUE,FALSE,,,,,
p.lond.lit,P.Lond.Lit.,P. Lond. Lit.,TRUE,FALSE,,,,,
p.louvre.bawit,P.Louvre Bawit,P. Louvre Bawit,TRUE,FALSE,,,,,
p.louvre,P.Louvre,P. Louvre,TRUE,FALSE,,,,,
p.lund,P.Lund,P. Lund,TRUE,FALSE,,,,,
p.marini,P.Marini,P. Marini,TRUE,FALSE,,,,,
p.marm,P.Marm.,P. Marm.,TRUE,FALSE,,,,,
p.masada,P.Masada,P. Masada,TRUE,FALSE,,,,,
p.matr,P.Matr.,P. Matr.,TRUE,FALSE,,,,,
p.medin.madi,P.Medin.Madi,P. Medinet Madi,TRUE,FALSE,,,,,
p.mert,P.Mert.,P. Merton,TRUE,FALSE,,,,,
p.messeri,P.Messeri,P. Messeri,TRUE,FALSE,,,,,
p.meyer,P.Meyer,P. Meyer,TRUE,FALSE,,,,,
p.mich,P.Mich.,P. Mich.,TRUE,FALSE,,,,,
p.mich.aphrod,P.Mich.Aphrod.,P. Mich. Aphrod.,TRUE,FALSE,,,,,
p.mich.copt,P.Mich.Copt.,P. Mich. Copt.,TRUE,FALSE,,,,,
p.mich.mchl,P.Mich.Mchl,P. Mich. Michael,TRUE,FALSE,,,,,
p.mich;1,P.Mich. 1,P. Mich. Zen.,TRUE,FALSE,,,,,
p.michael,P.Michael,P. Michael. Gr.,TRUE,FALSE,,,,,
p.mil.vogl,P.Mil.Vogl.,P. Mil. Vogl.,TRUE,FALSE,,,,,
p.mil,P.Mil.,P. Mil.,TRUE,FALSE,,,,,
p.minutoli,P.Minutoli,P. Minutoli,TRUE,FALSE,,,,,
p.mon.apollo,P.Mon.Apollo,P. Mon. Apollo,TRUE,FALSE,,,,,
p.mon.epiph,P.Mon.Epiph.,P. Mon. Epiph.,TRUE,FALSE,,,,,
p.mon.phoib.test,P.Mon.Phoib.Test.,P. Mon. Phoib. Test.,TRUE,FALSE,,,,,
p.monts.roca,P. Monts. Roca,P. Monts. Roca,TRUE,FALSE,,,,,
p.muench,P. Münch.,P. Münch.,TRUE,FALSE,,,,,
p.mur,P. Murabba'ât,P. Murabba'ât,TRUE,FALSE,,,,,
p.nag.hamm,P.Nag Hamm.,P. Nag Hamm.,TRUE,FALSE,,,,,
p.naqlun,P. Naqlun,P. Naqlun,TRUE,FALSE,,,,,
p.narm.2006,P.Narm.,P. Narm. 2006,TRUE,FALSE,,,,,
p.nekr,P.Nekr.,P. Nekr.,TRUE,FALSE,,,,,
p.neph,P.Neph.,P. Neph.,TRUE,FALSE,,,,,
p.ness,P.Ness.,P. Ness.,TRUE,FALSE,,,,,
p.chrest.nouvelle,P.Chrest.Nouvelle,P. Nouv. Chrest.,TRUE,FALSE,,,,,
p.nyu,P.NYU,P. NYU,TRUE,FALSE,,,,,
p.oslo,P.Oslo,P. Oslo,TRUE,FALSE,,,,,
p.oxy,P.Oxy.,P. Oxy.,TRUE,FALSE,,,,,
p.oxy.census,P.Oxy.Census,P. Oxy. Census,TRUE,FALSE,,,,,
p.oxy.hels,P.Oxy.Hels.,P. Oxy. Hels.,TRUE,FALSE,,,,,
p.oxyrhyncha,P.Oxyrhyncha,P. Oxyrhyncha,TRUE,FALSE,,,,,
p.palau.rib,P.PalauRib.,P. Palau Rib.,TRUE,FALSE,,,,,
p.panop,P.Panop.,P. Panop.,TRUE,FALSE,,,,,
p.panop.beatty,P.Panop.Beatty,P. Panop. Beatty,TRUE,FALSE,,,,,
p.paramone,P.Paramone,P. Paramone,TRUE,FALSE,,,,,
p.paris,P.Paris,P. Paris,TRUE,FALSE,,,,,
p.petaus,P.Petaus,P. Petaus,TRUE,FALSE,,,,,
p.petra,P.Petra,P. Petra,TRUE,FALSE,,,,,
p.petr,P.Petr.,P. Petrie,TRUE,FALSE,,,,,
p.petr.cahier,P.Petr.Cahier,P. Petrie Cahier,TRUE,FALSE,,,,,
p.petr.kleon,P.Petr.Kleon,P. Petrie Kleon,TRUE,FALSE,,,,,
p.petr.2ed;1,P.Petr.²,P. Petrie(2),TRUE,FALSE,,,,,
p.pher,P.Pher.,P. Pheretnuis,TRUE,FALSE,,,,,
p.fam.theb,P.Fam.Theb.,P. Phil. Dem.,TRUE,FALSE,,,,,
p.phil,P.Phil.,P. Phil. Gr.,TRUE,FALSE,,,,,
p.pintaudi,P.Pintaudi,P. Pintaudi,TRUE,FALSE,,,,,
p.polit.jud,P.Polit.Jud.,P. Polit. Iud.,TRUE,FALSE,,,,,
p.pommersf,P.Pommersf.,P. Pommersf.,TRUE,FALSE,,,,,
p.prag.varcl,P.Prag.Varcl,P. Prag Varcl,TRUE,FALSE,,,,,
p.prag,P.Prag.,P. Prag,TRUE,FALSE,,,,,
p.princ.roll,P. Princ. Roll,P. Princ. Roll,TRUE,FALSE,,,,,
p.princ,P. Princ,P. Princ,TRUE,FALSE,,,,,
p.quseir,P. Quseir,P. Quseir,TRUE,FALSE,,,,,
p.rain.cent,P.Rain.Cent.,P. Rainer Cent.,TRUE,FALSE,,,,,
p.rain.unterricht,P.Rain.Unterricht,P. Rainer Unterricht (MPER N.S. 15),TRUE,FALSE,,,,,
p.rain.unterricht.kopt,P.Rain.Unterricht Kopt.,P. Rainer Unterricht Kopt. (MPER N.S. 18),TRUE,FALSE,,,,,
p.recueil,P.Recueil,P. Recueil,TRUE,FALSE,,,,,
p.rein;1;D,P.Rein. 1 Dem,P\. Reinach Dem\. 1\s,TRUE,TRUE,,,,,
p.rein,P.Rein.,P. Reinach Gr.,TRUE,FALSE,,,,,
p.rev,P.Rev,P. Rev. (1st ed.),TRUE,FALSE,,,,,
p.rev.2ed,P.Rev.(2),P. Rev. (1st ed.),TRUE,FALSE,,,,,
p.revillout.copt,P.Revillout Copt.,P. Revillout Copt.,TRUE,FALSE,,,,,
p.ross.georg,P.Ross.Georg.,P. Ross. Georg.,TRUE,FALSE,,,,,
p.ryl.copt,P.Ryl.Copt.,P. Ryl. Copt.,TRUE,FALSE,,,,,
p.ryl.dem,P.Ryl.Dem.,P. Ryl. Dem.,TRUE,FALSE,,,,,
p.ryl,P.Ryl.,P. Ryl. Gr.,TRUE,FALSE,,,,,
p.sakaon,P.Sakaon,P. Sakaon,TRUE,FALSE,,,,,
p.sarap,P.Sarap.,P. Sarap.,TRUE,FALSE,,,,,
p.scholl,P.Scholl,P. Scholl,TRUE,FALSE,,,,,
p.schow,P.Schow,P. Schow,TRUE,FALSE,,,,,
p.schoyen,P.Schøyen,P. Schoyen,TRUE,FALSE,,,,,
p.schreibertrad,P.Schreibertrad.,P. Schreibertrad.,TRUE,FALSE,,,,,
p.schutzbriefe,P.Schutzbriefe,P. Schutzbriefe,TRUE,FALSE,,,,,
p.sel.warga,P.Sel.Warga,P. Sel. Warga,TRUE,FALSE,,,,,
p.sijp,P.Sijp.,P. Sijpesteijn,TRUE,FALSE,,,,,
p.bacch,P.Bacch.,P. Soknobraisis,TRUE,FALSE,,,,,
p.sorb,P.Sorb.,P. Sorb.,TRUE,FALSE,,,,,
p.soter,P.Soter.,P. Soter.,TRUE,FALSE,,,,,
p.stras.copt,P.Stras.Copt.,P. Strasb. Copt.,TRUE,FALSE,,,,,
p.stras.dem,P.Stras.Dem.,P. Strasb. Dem.,TRUE,FALSE,,,,,
p.stras.,P.Stras.,P. Strasb. Gr.,TRUE,FALSE,,,,,
p.choach.survey,P.Choach.Survey,P. Survey,TRUE,FALSE,,,,,
p.tarich,P.Tarich.,P. Tarich.,TRUE,FALSE,,,,,
p.tebt;3.2,P.Tebt. 3.2,P. Tebt. 3,TRUE,FALSE,,,,,
p.tebt.pad,P.Tebt.Pad.,P. Tebt. Pad.,TRUE,FALSE,,,,,
p.tebt.pad.cat,P.Tebt.Pad.Cat.,P. Tebt. Pad. inv.,TRUE,FALSE,,,,,
p.tebt.quen,P.Tebt.Quen.,P. Tebt. Quenouille,TRUE,FALSE,,,,,
p.tebt.tait,P.Tebt.Tait,P. Tebt. Tait,TRUE,FALSE,,,,,
p.tebt.wall,P.Tebt.Wall,P. Tebt. Wall,TRUE,FALSE,,,,,
p.tebt,P.Tebt.,P. Tebt.,TRUE,FALSE,,,,,
p.testi.botti,P.Testi Botti,P. Testi Botti,TRUE,FALSE,,,,,
p.thead,P.Thead.,P. Thead.,TRUE,FALSE,,,,,
p.theon,P.Theon.,P. Theon.,TRUE,FALSE,,,,,
p.thmouis,P.Thmouis,P. Thmouis,TRUE,FALSE,,,,,
p.thomas,P.Thomas,P. Thomas,TRUE,FALSE,,,,,
p.tor.amen,P.Tor.Amen.,P. Tor. Amen.,TRUE,FALSE,,,,,
p.tor.botti,P.Tor.Botti,P. Tor. Botti,TRUE,FALSE,,,,,
p.tor.choach,P.Tor.Choach.,P. Tor. Choach.,TRUE,FALSE,,,,,
p.tor,P.Tor.,P. Tor.,TRUE,FALSE,,,,,
p.trier,P.Trier,P. Trier,TRUE,FALSE,,,,,
p.aust.herring,P.Aust.Herring,P. Trophitis,TRUE,FALSE,,,,,
p.turku,P.Turku,P. Turku,TRUE,FALSE,,,,,
p.turner,P.Turner,P. Turner,TRUE,FALSE,,,,,
p.ups.fird,P.Ups.Frid,P. Ups. Frid,TRUE,FALSE,,,,,
p.vars,P.Vars.,P. Vars.,TRUE,FALSE,,,,,
p.vat.aphrod,P.Vat.Aphrod.,P. Vat. Aphrod.,TRUE,FALSE,,,,,
p.verpfruendung,P.Verpfründung.,P. Verpfründungsurk.,TRUE,FALSE,,,,,
p.vet.aelii,P.Vet.Aelii,P. Vet. Aelii,TRUE,FALSE,,,,,
p.vind.sal,P.Vind.Sal.,P. Vind. Sal.,TRUE,FALSE,,,,,
p.vind.tand,P.Vind.Tand.,P. Vind. Tand.,TRUE,FALSE,,,,,
p.vind.worp,P.Vind.Worp,P. Vind. Worp,TRUE,FALSE,,,,,
p.wash.univ,P.Wash.Univ.,P. Wash. Univ.,TRUE,FALSE,,,,,
p.wisc,P.Wisc.,P. Wisc.,TRUE,FALSE,,,,,
p.wuerzb,P.Würzb.,P. Würzb.,TRUE,FALSE,,,,,
p.yadin,P.Yadin,P. Yadin,TRUE,FALSE,,,,,
p.yale.copt,P.Yale Copt.,P. Yale Copt.,TRUE,FALSE,,,,,
p.yale,P.Yale,P. Yale,TRUE,FALSE,,,,,
p.zaki.aly,P.Zaki Aly ,P. Zaki Aly,TRUE,FALSE,,,,,
p.zauzich,P.Zauzich,P. Zauzich,TRUE,FALSE,,,,,
p.zen.dem,P.Zen.Dem.,P. Zen. Dem.,TRUE,FALSE,,,,,
mper.ns;20,MPER N.S. 20,"Palme, Das Amt des Apaitetes",TRUE,FALSE,,,,,
pap.agon,Pap.Agon.,Pap. Agon.,TRUE,FALSE,,,,,
pap.choix,Pap.Choix,Pap. Choix,TRUE,FALSE,,,,,
pap.congr,PapCongr.,Pap. Congr.,TRUE,FALSE,,,,,
pap.graec.mag.2ed,Pap.Graec.Mag.(2),Pap. Graec. Mag.(2),TRUE,FALSE,,,,,
pap.heid;1,Pap.Heid. 1,Pap. Heid.,TRUE,FALSE,,,,,
pap.leod;1,Pap.Leod. 1,Papyri Vergilianae,TRUE,FALSE,,,,,
ddbdp,DDbDP ,Papyri.info (online) ddbdp;,TRUE,FALSE,,,,,
pap.lup,Pap.Lup.,Papyrologica Lupiensia,TRUE,FALSE,,,,,
pap.flor;7,Pap.Flor. 7,"Pintaudi (ed.), Miscellanea papyrologica (Pap. Flor. 7)",TRUE,FALSE,,,,,
pap.brux;8,Pap.Brux. 8,"Poethke, Epimerismos. Betrachtungen zur Zwangspacht",TRUE,FALSE,,,,,
pap.eleph.eng,Pap.Eleph.Eng.,"Porten, The Elephantine papyri in English",TRUE,FALSE,,,,,
pros.ptol;8,Pros.Ptol. 8,Prosopographia Ptolemaica VIII (Stud. Hell. 21),TRUE,FALSE,,,,,
pros.ptol;10,Pros.Ptol. 10,Prosopographia Ptolemaica X (Stud. Hell. 38),TRUE,FALSE,,,,,
psi;15estr,PSI 15 Estr. $1,PSI 15 (\d{4}) \(Estratto\),TRUE,TRUE,,,,,
psi.congr.xi,PSI Congr. 11,PSI Congr. 11,FALSE,FALSE,,,,,
psi.congr.xvii,PSI Congr. 17,PSI Congr. 17,FALSE,FALSE,,,,,
psi.congr.xx,PSI Congr. 20,PSI Congr. 20,FALSE,FALSE,,,,,
psi.congr.xxi,PSI Congr. 21,PSI Congr. 21,FALSE,FALSE,,,,,
psi.corr;1,PSI Corr. ,"PSI Corr. 1 (1977),",TRUE,FALSE,,,,,
psi.od,PSI Od.,PSI Od.,FALSE,FALSE,,,,,
psi,PSI,PSI,FALSE,FALSE,,,,,
o.berenike;4,O.Berenike 4,"Pylon 1 \(2022\) \[Ast\], § [-0-9]+ no\. O\. Berenike ",TRUE,TRUE,,,,,
pylon,Pylon,Pylon,FALSE,FALSE,,,,,
pap.colon;49,Pap.Colon. 49,"Qandeil, The office of the epimeletes (Pap. Colon. 49)",TRUE,FALSE,,,,,
rech.pap,Rech.Pap.,Recherches de papyrologie,TRUE,FALSE,,,,,
recueil.trav;15,Receuil Trav.,Recueil de travaux égyptiennes et assyriennes,TRUE,FALSE,,,,,
p.iand.inv.653,P.Iand.inv. 653,"Reekmans, A sixth century account of hay (Pap. Brux. 1) p. 41-74",TRUE,FALSE,,,,,
pap.brux;3,Pap.Brux. 3,"Reekmans, La sitométrie dans les archives de Zénon",TRUE,FALSE,,,,,
p.cair.reggiani,P.Cair.Reggiani,"Reggiani, Greek papyri from the Fayum in the Cairo Egyptian Museum",TRUE,FALSE,,,,,
pap.colon;31,Pap.Colon. 31,"Reiter, Die Nomarchen des Arsinoites (Pap. Colon. 31)",TRUE,FALSE,,,,,
rev.d.eg,Rev.d'Ég.,Revue d'Égyptologie (RdE),TRUE,FALSE,,,,,
rev.egyptologique,Rev.égyptologique,Revue égyptologique,TRUE,FALSE,,,,,
reac,REAC,Ricerche di egittologia e di antichità copte (REAC),TRUE,FALSE,,,,,
archiv.beih;1,ArchivBeih. 1,"Rostovtzeff, Studien zur Geschichte des römischen Kolonates",TRUE,FALSE,,,,,
sb,SB,SB,FALSE,FALSE,,,,,
stud.pal;3(2),Stud.Pal. III2,Stud. Pal.(2) 3.,TRUE,FALSE,,,,,
stud.pal,Stud.Pal.,Stud. Pal.,FALSE,FALSE,,,,,
studi;1,Studî,Studia della scuola papyrologica,TRUE,FALSE,,,,,
stud.pap,StudPap,Studia Papyrologica,TRUE,FALSE,,,,,
suppl.mag,Suppl.Mag.,Suppl. Mag.,TRUE,FALSE,,,,,
symboslo,SymbOslo,Symbolae Osloenses,TRUE,FALSE,,,,,
t.alb,T.Alb.,T. Albertini,TRUE,FALSE,,,,,
t.bm.arlt,T.BM Arlt,T. BM Arlt,TRUE,FALSE,,,,,
t.moeller,T.Möller,T. Möller,TRUE,FALSE,,,,,
t.spiegelberg,T.Spiegelberg,T. Spiegelberg,TRUE,FALSE,,,,,
t.varie,T.Varie,T. Varie,TRUE,FALSE,,,,,
t.vindol,T.Vindol.,T. Vindol.,TRUE,FALSE,,,,,
t.vindon,T.Vindon.,T. Vindon.,TRUE,FALSE,,,,,
trav.mem,Trav.Mém.,Travaux et mémoires,TRUE,FALSE,,,,,
tyche,Tyche,Tyche,FALSE,FALSE,,,,,
upz,UPZ,UPZ,FALSE,FALSE,,,,,
publ.sorb.pap.,Publ.Sorb.Pap.,"van Haelst, Catalogue des papyrus littéraires juifs et chrétiens",TRUE,FALSE,,,,,
pap.colon;50,Pap.Colon. 50,"Vega Navarette, Die papyrusbriefe zwischen Eltern und Kinder (Pap. Colon. 50)",TRUE,FALSE,,,,,
pap.colon;40,Pap.Colon. 40,"Vega, Die Acta Alexandrinorum (Pap. Colon. 40)",TRUE,FALSE,,,,,
vdi,VDI,Vestnik drevnej istorii,TRUE,FALSE,,,,,
dem.congr;2,DemCongr. 2,"Vleeming (ed.), Aspects of Demotic lexicography",TRUE,FALSE,,,,,
muench.beitr;1,Münch.Beitr. 1,"von Druffel, Papyrologische Studien zum byzantinischen Urkundenwesen",TRUE,FALSE,,,,,
pap.colon;3,Pap.Colon. 3,"West, The Ptolemaic papyri of Homer",TRUE,FALSE,,,,,
pap.brux;10,Pap.Brux. 10,"Wipszycka, Les ressources et les activités économiques des églises en Égypte",TRUE,FALSE,,,,,
muench.beitr;44,Münch.Beitr. 44,"Wolff, Das Justizwesen der Ptolemäer",TRUE,FALSE,,,,,
zrg,ZRG,Zeitschrift der Savigny-Stiftung für Rechtsgeschichte (Romanistische Abteilung) ,TRUE,FALSE,,,,,
zaes,ZÄS,Zeitschrift für Ägyptische Sprache und Altertumskunde (ZÄS),TRUE,FALSE,Assuming 'zaes',yes please,,,
zpe,ZPE,ZPE,TRUE,FALSE,,,,,
p.aphrod.reg;;col1_18,P.Aphrod.Reg.,"Zuckerman, Autour du registre fiscal d'Aphroditô p. 248-271",TRUE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
,,,FALSE,FALSE,,,,,
