DDb-hybrid (match),Checklist (replace-with),TM (replace),Replace?,Regex?,Notes,,,,
p.dura.lat,P.Dura Lat.,"Iovine, Latin military papyri of Dura-Europos",TRUE,FALSE,,,,,
iej,IEJ,Israel Exploration Journal,TRUE,FALSE,,,,,
muench.beitr;114,Münch.Beitr. 114,"Johannsen, Das Privatrecht der griechischen Urkunen vom mittleren Euphrat",TRUE,FALSE,,,,,
j.copt.stud,JCoptStud,Journal of Coptic Studies,TRUE,FALSE,,,,,
jea,JEA,Journal of Egyptian Archaeology (JEA),TRUE,FALSE,,,,,
jjp,JJP,Journal of Juristic Papyrology (JJP),TRUE,FALSE,,,,,
muench.beitr;28,Münch.Beitr. 28,"Kapsomenakis, Voruntersuchungen zu einer Grammatik der Papyri der nachchristlichen Zeit",TRUE,FALSE,,,,,
kurzberichtegiessen;20,KurzberichteGiessen 20,"Kurzberichte aus den Giessener Papyrus-Sammlungen 20 (1965),",TRUE,FALSE,Checklist has volume numbers...,,,,
pap.classics;2,Pap.Classics 2,"Lewis, Greeks in Ptolemaic Egypt",TRUE,FALSE,,,,,
pap.classics;1,Pap.Classics 1,"Lewis, Life in Egypt under Roman rule",TRUE,FALSE,,,,,
dem.congr;4,DemCongr. 4,Life in a multi-cultural society,TRUE,FALSE,,,,,
pap.colon;25,Pap.Colon. 25,"Maresch, Bronze und Silber (Pap. Colon. 25)",TRUE,FALSE,,,,,
p.marini,P.Marini,"Marini, I papiri diplomatici",TRUE,FALSE,,,,,
jur.pap,Jur.Pap.,"Meyer, Juristische Papyri",TRUE,FALSE,,,,,
pap.flor;32,Pap.Flor. 32,"Mitthof, Annona militaris (Pap. Flor. 32)",TRUE,FALSE,,,,,
mizraim,Mizraim,Mizraim,FALSE,FALSE,,,,,
mper.ns,MPER N.S.,MPER N.S.,FALSE,FALSE,,,,,
mper,MPER,MPER,FALSE,FALSE,,,,,
stud.test.pap;3,Stud.Test.Pap. 3,"Naldini, Il cristianesimo 1",TRUE,FALSE,,,,,
new.docs,NewDocs,New documents illustrating early christianity,TRUE,FALSE,,,,,
pestman.prim,"Pestman, Prim.",New papyrological primer,TRUE,FALSE,CList has second 1994 ed; TM has 1st 1990 ed,,,,
p.amh.eg,P.Amh.Eg.,"Newberry, Amherst papyri",TRUE,FALSE,,,,,
o.abu.mina,O.Abu.Mina,O. Abu Mina,FALSE,FALSE,,,,,
o.oasis;;AinLabakha1,O.Oasis: AinLabakha 1,O. Ain Labakha (p. 82),TRUE,FALSE,,,,,
o.amst,O.Amst.,O. Amst.,TRUE,FALSE,,,,,
o.ashm,O.Ashm.,O. Ashm.,TRUE,FALSE,,,,,
o.ashm.copt,O.Ashm.Copt.,O. Ashm. Copt.,TRUE,FALSE,,,,,
o.ashm.shelt,O.Ashm.Shelt.,O. Ashm. Shelton,TRUE,FALSE,,,,,
o.oasis;;Bahria,O.Oasis: Bahria,O\. Bahria\s,TRUE,TRUE,,,,,
o.bankes,O.Bankes,O. Bankes,TRUE,FALSE,,,,,
o.bawit.fribourg,O.Bawit Fribourg,O. Bawit Fribourg,TRUE,FALSE,,,,,
o.bawit.ifao,O.Bawit IFAO,O. Bawit IFAO,TRUE,FALSE,,,,,
o.berenike,O.Berenike,O. Berenike,TRUE,FALSE,,,,,
o.berl,O.Berl.,O. Berl.,TRUE,FALSE,,,,,
o.bir.shawish,O.Bir Shawish,O. Bir Shawish,TRUE,FALSE,,,,,
o.blemmyes,O.Blemmyes,O. Blemmyes,TRUE,FALSE,,,,,
o.bodl,O.Bodl.,O. Bodl.,TRUE,FALSE,,,,,
o.brit.mus.copt,O.Brit.Mus.Copt.,O. Brit. Mus. Copt.,TRUE,FALSE,,,,,
o.brux,O.Brux.,O. Brux.,TRUE,FALSE,,,,,
o.bu.njem,O.Bu Njem,O. Bu Njem,TRUE,FALSE,,,,,
o.buch,O.Buch.,O. Bucheum,TRUE,FALSE,,,,,
o.cair.cat,O.Cair.Cat.,O. Cairo Cat.,TRUE,FALSE,,,,,
o.cair,O.Cair.,O. Cairo,TRUE,FALSE,,,,,
o.camb,O.Camb.,O. Camb.,TRUE,FALSE,,,,,
o.oasis;;ChamsElDin,O.Oasis: ChamsElDin,O. Chams el-Din,TRUE,FALSE,,,,,
o.claud,O.Claud.,O. Claud.,TRUE,FALSE,,,,,
o.cret.chers,O.Chret.Chers.,O. Cret. Chers.,TRUE,FALSE,,,,,
o.crum.st,O.Crum ST,O. Crum ST,TRUE,FALSE,,,,,
o.crum.vc,O.Crum VC,O. Crum VC,TRUE,FALSE,,,,,
o.deiss,O.Deiss.,O. Deiss.,TRUE,FALSE,,,,,
o.did,O.Did.,O. Did.,TRUE,FALSE,,,,,
o.dime,O.Dime,O. Dime,TRUE,FALSE,,,,,
o.oasis;;Dor,O.Oasis: Dor,O. Dor ,TRUE,FALSE,,,,,
o.douch,O.Douch,O. Douch,TRUE,FALSE,,,,,
o.edfou,O.Edfou,O. Edfou,TRUE,FALSE,,,,,
o.edfou.ifao,O.Edfou IFAO,O. Edfou Copte,TRUE,FALSE,,,,,
p.eleph.wagner;1;,O.Eleph.Wagner,O. Eleph. DAIK,TRUE,FALSE,,,,,
o.elkab,O.Elkab,O. Elkab,TRUE,FALSE,,,,,
o.fay,O.Fay.,O. Fay.,TRUE,FALSE,,,,,
o.florida,O.Florida,O. Florida,TRUE,FALSE,,,,,
o.frange,O.Frangé,O. Frangé,TRUE,FALSE,,,,,
o.heid,O.Heid.,O. Heid.,TRUE,FALSE,,,,,
o.joach,O.Joach.,O. Joachim,TRUE,FALSE,,,,,
o.kellis,O.Kellis,O. Kellis,TRUE,FALSE,,,,,
o.krok,O.Krok.,O. Krok.,TRUE,FALSE,,,,,
o.leid.dem,O.Leid.Dem.,O. Leiden Dem.,TRUE,FALSE,,,,,
o.leid,O.Leid.,O. Leiden Gr.,TRUE,FALSE,,,,,
